date,hour,member_casual,rideable_type,count
2022-12-14,11,casual,classic_bike,1
2022-12-28,9,casual,classic_bike,2
2022-12-28,11,casual,classic_bike,2
2022-12-30,9,casual,classic_bike,1
2022-12-30,11,casual,classic_bike,1
2022-12-30,14,casual,classic_bike,1
2022-12-30,15,casual,classic_bike,1
2022-12-30,16,casual,classic_bike,3
2022-12-30,17,casual,classic_bike,1
2022-12-30,19,casual,classic_bike,1
2022-12-30,21,casual,classic_bike,1
2022-12-30,23,casual,classic_bike,1
2022-12-30,23,member,classic_bike,1
2022-12-31,0,casual,classic_bike,2
2022-12-31,0,casual,electric_bike,2
2022-12-31,0,member,classic_bike,1
2022-12-31,1,casual,classic_bike,1
2022-12-31,1,casual,electric_bike,1
2022-12-31,1,member,electric_bike,1
2022-12-31,2,casual,classic_bike,2
2022-12-31,2,casual,electric_bike,1
2022-12-31,3,casual,classic_bike,3
2022-12-31,4,casual,classic_bike,1
2022-12-31,7,casual,classic_bike,1
2022-12-31,8,member,classic_bike,1
2022-12-31,8,member,electric_bike,1
2022-12-31,9,casual,classic_bike,1
2022-12-31,10,casual,classic_bike,3
2022-12-31,10,casual,electric_bike,1
2022-12-31,11,casual,classic_bike,2
2022-12-31,11,casual,electric_bike,2
2022-12-31,11,member,classic_bike,1
2022-12-31,11,member,electric_bike,1
2022-12-31,12,casual,classic_bike,2
2022-12-31,12,casual,electric_bike,2
2022-12-31,12,member,electric_bike,2
2022-12-31,13,casual,classic_bike,5
2022-12-31,13,casual,electric_bike,1
2022-12-31,13,member,classic_bike,1
2022-12-31,13,member,electric_bike,1
2022-12-31,14,member,classic_bike,1
2022-12-31,15,casual,classic_bike,4
2022-12-31,15,member,classic_bike,2
2022-12-31,16,casual,classic_bike,2
2022-12-31,16,casual,electric_bike,3
2022-12-31,16,member,classic_bike,1
2022-12-31,17,casual,classic_bike,2
2022-12-31,17,casual,electric_bike,2
2022-12-31,17,member,electric_bike,1
2022-12-31,18,casual,classic_bike,2
2022-12-31,18,casual,electric_bike,4
2022-12-31,18,member,classic_bike,2
2022-12-31,19,casual,classic_bike,2
2022-12-31,19,casual,electric_bike,1
2022-12-31,19,member,classic_bike,1
2022-12-31,19,member,electric_bike,1
2022-12-31,20,member,classic_bike,1
2022-12-31,20,member,electric_bike,1
2022-12-31,22,casual,classic_bike,2
2022-12-31,22,casual,electric_bike,5
2022-12-31,22,member,classic_bike,2
2022-12-31,22,member,electric_bike,4
2022-12-31,23,casual,classic_bike,31
2022-12-31,23,casual,electric_bike,59
2022-12-31,23,member,classic_bike,22
2022-12-31,23,member,electric_bike,58
2023-01-01,0,casual,classic_bike,135
2023-01-01,0,casual,electric_bike,211
2023-01-01,0,member,classic_bike,245
2023-01-01,0,member,electric_bike,468
2023-01-01,1,casual,classic_bike,220
2023-01-01,1,casual,electric_bike,391
2023-01-01,1,member,classic_bike,344
2023-01-01,1,member,electric_bike,741
2023-01-01,2,casual,classic_bike,235
2023-01-01,2,casual,electric_bike,374
2023-01-01,2,member,classic_bike,287
2023-01-01,2,member,electric_bike,733
2023-01-01,3,casual,classic_bike,154
2023-01-01,3,casual,electric_bike,241
2023-01-01,3,member,classic_bike,199
2023-01-01,3,member,electric_bike,462
2023-01-01,4,casual,classic_bike,77
2023-01-01,4,casual,electric_bike,148
2023-01-01,4,member,classic_bike,102
2023-01-01,4,member,electric_bike,292
2023-01-01,5,casual,classic_bike,32
2023-01-01,5,casual,electric_bike,51
2023-01-01,5,member,classic_bike,67
2023-01-01,5,member,electric_bike,142
2023-01-01,6,casual,classic_bike,28
2023-01-01,6,casual,electric_bike,50
2023-01-01,6,member,classic_bike,88
2023-01-01,6,member,electric_bike,200
2023-01-01,7,casual,classic_bike,19
2023-01-01,7,casual,electric_bike,49
2023-01-01,7,member,classic_bike,158
2023-01-01,7,member,electric_bike,230
2023-01-01,8,casual,classic_bike,40
2023-01-01,8,casual,electric_bike,89
2023-01-01,8,member,classic_bike,297
2023-01-01,8,member,electric_bike,316
2023-01-01,9,casual,classic_bike,111
2023-01-01,9,casual,electric_bike,156
2023-01-01,9,member,classic_bike,508
2023-01-01,9,member,electric_bike,494
2023-01-01,10,casual,classic_bike,237
2023-01-01,10,casual,electric_bike,240
2023-01-01,10,member,classic_bike,813
2023-01-01,10,member,electric_bike,683
2023-01-01,11,casual,classic_bike,389
2023-01-01,11,casual,electric_bike,384
2023-01-01,11,member,classic_bike,921
2023-01-01,11,member,electric_bike,971
2023-01-01,12,casual,classic_bike,604
2023-01-01,12,casual,electric_bike,614
2023-01-01,12,member,classic_bike,1289
2023-01-01,12,member,electric_bike,1207
2023-01-01,13,casual,classic_bike,809
2023-01-01,13,casual,electric_bike,733
2023-01-01,13,member,classic_bike,1429
2023-01-01,13,member,electric_bike,1347
2023-01-01,14,casual,classic_bike,839
2023-01-01,14,casual,electric_bike,855
2023-01-01,14,member,classic_bike,1610
2023-01-01,14,member,electric_bike,1615
2023-01-01,15,casual,classic_bike,956
2023-01-01,15,casual,electric_bike,979
2023-01-01,15,member,classic_bike,1594
2023-01-01,15,member,electric_bike,1681
2023-01-01,16,casual,classic_bike,756
2023-01-01,16,casual,electric_bike,761
2023-01-01,16,member,classic_bike,1515
2023-01-01,16,member,electric_bike,1542
2023-01-01,17,casual,classic_bike,458
2023-01-01,17,casual,electric_bike,526
2023-01-01,17,member,classic_bike,1046
2023-01-01,17,member,electric_bike,1381
2023-01-01,18,casual,classic_bike,276
2023-01-01,18,casual,electric_bike,409
2023-01-01,18,member,classic_bike,840
2023-01-01,18,member,electric_bike,1185
2023-01-01,19,casual,classic_bike,206
2023-01-01,19,casual,electric_bike,368
2023-01-01,19,member,classic_bike,605
2023-01-01,19,member,electric_bike,1065
2023-01-01,20,casual,classic_bike,205
2023-01-01,20,casual,electric_bike,315
2023-01-01,20,member,classic_bike,501
2023-01-01,20,member,electric_bike,856
2023-01-01,21,casual,classic_bike,166
2023-01-01,21,casual,electric_bike,260
2023-01-01,21,member,classic_bike,382
2023-01-01,21,member,electric_bike,693
2023-01-01,22,casual,classic_bike,157
2023-01-01,22,casual,electric_bike,238
2023-01-01,22,member,classic_bike,331
2023-01-01,22,member,electric_bike,592
2023-01-01,23,casual,classic_bike,105
2023-01-01,23,casual,electric_bike,186
2023-01-01,23,member,classic_bike,235
2023-01-01,23,member,electric_bike,498
2023-01-02,0,casual,classic_bike,74
2023-01-02,0,casual,electric_bike,113
2023-01-02,0,member,classic_bike,152
2023-01-02,0,member,electric_bike,375
2023-01-02,1,casual,classic_bike,45
2023-01-02,1,casual,electric_bike,66
