hour,net_flow,type
0,0.03493431269213878,Residential (Source)
1,0.039286964329283164,Residential (Source)
2,-0.00121860575587284,Residential (Source)
3,-0.031723839847752885,Residential (Source)
4,-0.08366429512516468,Residential (Source)
5,-0.556464757722149,Residential (Source)
6,-1.8108536202605767,Residential (Source)
7,-2.9213899224125313,Residential (Source)
8,-4.398489041135997,Residential (Source)
9,-2.3414203191333627,Residential (Source)
10,-0.8554266373883767,Residential (Source)
11,-0.6808041985068072,Residential (Source)
12,-0.47491418533157664,Residential (Source)
13,-0.23399395696091357,Residential (Source)
14,-0.05347176108915239,Residential (Source)
15,0.3961663299663298,Residential (Source)
16,1.1667230332308591,Residential (Source)
17,1.7779725779534477,Residential (Source)
18,1.0654883911579562,Residential (Source)
19,0.53488832089006,Residential (Source)
20,0.38359351193090324,Residential (Source)
21,0.45157296442687744,Residential (Source)
22,0.3995646201141853,Residential (Source)
23,0.17510855218855223,Residential (Source)
0,-0.06243997511345336,Commercial (Sink)
1,-0.0014418718586834492,Commercial (Sink)
2,-0.013100706582735568,Commercial (Sink)
3,0.032037527041754096,Commercial (Sink)
4,0.12623143805201775,Commercial (Sink)
5,1.2890546025472114,Commercial (Sink)
6,3.4789654794320013,Commercial (Sink)
7,5.327283173766652,Commercial (Sink)
8,6.907376647635777,Commercial (Sink)
9,3.3451361147708973,Commercial (Sink)
10,0.9417246025472111,Commercial (Sink)
11,0.5744601493192798,Commercial (Sink)
12,0.322536044503001,Commercial (Sink)
13,-0.08048249451032063,Commercial (Sink)
14,-0.5365434987556728,Commercial (Sink)
15,-0.8772507744107745,Commercial (Sink)
16,-2.272135441370224,Commercial (Sink)
17,-4.416621747913922,Commercial (Sink)
18,-2.497172337871468,Commercial (Sink)
19,-0.9772245000731958,Commercial (Sink)
20,-0.34836954472258824,Commercial (Sink)
21,-0.23247964866051823,Commercial (Sink)
22,-0.176741684965598,Commercial (Sink)
23,-0.06954681744986095,Commercial (Sink)
